#,"Date Time, GMT+00:00","Temp, °C (LGR S/N: 10755220, SEN S/N: 10755220)",,Coupler Attached (LGR S/N: 10755220),Host Connected (LGR S/N: 10755220),Stopped (LGR S/N: 10755220),End Of File (LGR S/N: 10755220)
1,2019-05-30 18:00,12.243,,,,,
2,2019-05-30 19:00,7.87,,,,,
3,2019-05-30 20:00,6.585,,,,,
4,2019-05-30 21:00,6.661,,,,,
5,2019-05-30 22:00,6.661,,,,,
6,2019-05-30 23:00,7.293,,,,,
7,2019-05-31 0:00,7.67,,,,,
8,2019-05-31 1:00,7.695,,,,,
9,2019-05-31 2:00,7.745,,,,,
10,2019-05-31 3:00,7.569,,,,,
11,2019-05-31 4:00,7.695,,,,,
12,2019-05-31 5:00,7.569,,,,,
13,2019-05-31 6:00,6.813,,,,,
14,2019-05-31 7:00,6.99,,,,,
15,2019-05-31 8:00,6.509,,,,,
16,2019-05-31 9:00,6.509,,,,,
17,2019-05-31 10:00,6.408,,,,,
18,2019-05-31 11:00,6.56,,,,,
19,2019-05-31 12:00,6.712,,,,,
20,2019-05-31 13:00,6.788,,,,,
21,2019-05-31 14:00,6.737,,,,,
22,2019-05-31 15:00,6.763,,,,,
23,2019-05-31 16:00,6.687,,,,,
24,2019-05-31 17:00,6.839,,,,,
25,2019-05-31 18:00,6.965,,,,,
26,2019-05-31 19:00,7.066,,,,,
27,2019-05-31 20:00,6.914,,,,,
28,2019-05-31 21:00,7.192,,,,,
29,2019-05-31 22:00,7.444,,,,,
30,2019-05-31 23:00,7.494,,,,,
31,2019-06-01 0:00,7.494,,,,,
32,2019-06-01 1:00,7.594,,,,,
33,2019-06-01 2:00,7.645,,,,,
34,2019-06-01 3:00,7.67,,,,,
35,2019-06-01 4:00,7.594,,,,,
36,2019-06-01 5:00,7.544,,,,,
37,2019-06-01 6:00,7.041,,,,,
38,2019-06-01 7:00,6.813,,,,,
39,2019-06-01 8:00,6.914,,,,,
40,2019-06-01 9:00,6.661,,,,,
41,2019-06-01 10:00,6.763,,,,,
42,2019-06-01 11:00,6.737,,,,,
43,2019-06-01 12:00,7.268,,,,,
44,2019-06-01 13:00,7.242,,,,,
45,2019-06-01 14:00,7.268,,,,,
46,2019-06-01 15:00,7.293,,,,,
47,2019-06-01 16:00,7.318,,,,,
48,2019-06-01 17:00,7.318,,,,,
49,2019-06-01 18:00,7.469,,,,,
50,2019-06-01 19:00,7.895,,,,,
51,2019-06-01 20:00,7.645,,,,,
52,2019-06-01 21:00,8.344,,,,,
53,2019-06-01 22:00,8.369,,,,,
54,2019-06-01 23:00,7.015,,,,,
55,2019-06-02 0:00,7.167,,,,,
56,2019-06-02 1:00,6.864,,,,,
57,2019-06-02 2:00,7.192,,,,,
58,2019-06-02 3:00,7.041,,,,,
59,2019-06-02 4:00,6.94,,,,,
60,2019-06-02 5:00,8.494,,,,,
61,2019-06-02 6:00,7.77,,,,,
62,2019-06-02 7:00,7.318,,,,,
63,2019-06-02 8:00,6.611,,,,,
64,2019-06-02 9:00,6.636,,,,,
65,2019-06-02 10:00,6.737,,,,,
66,2019-06-02 11:00,6.433,,,,,
67,2019-06-02 12:00,6.433,,,,,
68,2019-06-02 13:00,6.408,,,,,
69,2019-06-02 14:00,7.343,,,,,
70,2019-06-02 15:00,7.419,,,,,
71,2019-06-02 16:00,7.368,,,,,
72,2019-06-02 17:00,7.268,,,,,
73,2019-06-02 18:00,7.368,,,,,
74,2019-06-02 19:00,7.242,,,,,
75,2019-06-02 20:00,7.192,,,,,
76,2019-06-02 21:00,7.041,,,,,
77,2019-06-02 22:00,6.839,,,,,
78,2019-06-02 23:00,7.268,,,,,
79,2019-06-03 0:00,7.419,,,,,
80,2019-06-03 1:00,7.167,,,,,
81,2019-06-03 2:00,7.142,,,,,
82,2019-06-03 3:00,7.242,,,,,
83,2019-06-03 4:00,7.469,,,,,
84,2019-06-03 5:00,7.167,,,,,
85,2019-06-03 6:00,7.091,,,,,
86,2019-06-03 7:00,7.041,,,,,
87,2019-06-03 8:00,6.99,,,,,
88,2019-06-03 9:00,6.889,,,,,
89,2019-06-03 10:00,7.015,,,,,
90,2019-06-03 11:00,6.94,,,,,
91,2019-06-03 12:00,6.864,,,,,
92,2019-06-03 13:00,6.889,,,,,
93,2019-06-03 14:00,6.788,,,,,
94,2019-06-03 15:00,6.839,,,,,
95,2019-06-03 16:00,6.813,,,,,
96,2019-06-03 17:00,6.813,,,,,
97,2019-06-03 18:00,7.015,,,,,
98,2019-06-03 19:00,7.419,,,,,
99,2019-06-03 20:00,7.469,,,,,
100,2019-06-03 21:00,7.444,,,,,
101,2019-06-03 22:00,7.419,,,,,
102,2019-06-03 23:00,7.041,,,,,
103,2019-06-04 0:00,7.343,,,,,
104,2019-06-04 1:00,6.813,,,,,
105,2019-06-04 2:00,6.788,,,,,
106,2019-06-04 3:00,6.636,,,,,
107,2019-06-04 4:00,6.687,,,,,
108,2019-06-04 5:00,6.433,,,,,
109,2019-06-04 6:00,6.712,,,,,
110,2019-06-04 7:00,6.763,,,,,
111,2019-06-04 8:00,7.142,,,,,
112,2019-06-04 9:00,7.293,,,,,
113,2019-06-04 10:00,6.889,,,,,
114,2019-06-04 11:00,6.788,,,,,
115,2019-06-04 12:00,6.788,,,,,
116,2019-06-04 13:00,6.788,,,,,
117,2019-06-04 14:00,6.737,,,,,
118,2019-06-04 15:00,7.041,,,,,
119,2019-06-04 16:00,7.041,,,,,
120,2019-06-04 17:00,7.015,,,,,
121,2019-06-04 18:00,6.965,,,,,
122,2019-06-04 19:00,6.889,,,,,
123,2019-06-04 20:00,7.091,,,,,
124,2019-06-04 21:00,7.519,,,,,
125,2019-06-04 22:00,7.82,,,,,
126,2019-06-04 23:00,7.92,,,,,
127,2019-06-05 0:00,7.217,,,,,
128,2019-06-05 1:00,7.217,,,,,
129,2019-06-05 2:00,6.94,,,,,
130,2019-06-05 3:00,6.535,,,,,
131,2019-06-05 4:00,6.458,,,,,
132,2019-06-05 5:00,6.687,,,,,
133,2019-06-05 6:00,7.041,,,,,
134,2019-06-05 7:00,7.444,,,,,
135,2019-06-05 8:00,7.116,,,,,
136,2019-06-05 9:00,7.091,,,,,
137,2019-06-05 10:00,7.268,,,,,
138,2019-06-05 11:00,7.242,,,,,
139,2019-06-05 12:00,6.56,,,,,
140,2019-06-05 13:00,6.636,,,,,
141,2019-06-05 14:00,6.535,,,,,
142,2019-06-05 15:00,6.509,,,,,
143,2019-06-05 16:00,6.509,,,,,
144,2019-06-05 17:00,6.357,,,,,
145,2019-06-05 18:00,6.179,,,,,
146,2019-06-05 19:00,6.331,,,,,
147,2019-06-05 20:00,6.433,,,,,
148,2019-06-05 21:00,6.687,,,,,
149,2019-06-05 22:00,6.889,,,,,
150,2019-06-05 23:00,6.94,,,,,
151,2019-06-06 0:00,6.965,,,,,
152,2019-06-06 1:00,6.763,,,,,
153,2019-06-06 2:00,6.458,,,,,
154,2019-06-06 3:00,6.357,,,,,
155,2019-06-06 4:00,5.975,,,,,
156,2019-06-06 5:00,5.719,,,,,
157,2019-06-06 6:00,6.153,,,,,
158,2019-06-06 7:00,6.102,,,,,
159,2019-06-06 8:00,6.382,,,,,
160,2019-06-06 9:00,6.535,,,,,
161,2019-06-06 10:00,6.611,,,,,
162,2019-06-06 11:00,6.535,,,,,
163,2019-06-06 12:00,6.382,,,,,
164,2019-06-06 13:00,5.898,,,,,
165,2019-06-06 14:00,5.796,,,,,
166,2019-06-06 15:00,5.796,,,,,
167,2019-06-06 16:00,5.77,,,,,
168,2019-06-06 17:00,5.616,,,,,
169,2019-06-06 18:00,5.616,,,,,
170,2019-06-06 19:00,5.847,,,,,
171,2019-06-06 20:00,6.077,,,,,
172,2019-06-06 21:00,6.23,,,,,
173,2019-06-06 22:00,6.433,,,,,
174,2019-06-06 23:00,6.484,,,,,
175,2019-06-07 0:00,6.585,,,,,
176,2019-06-07 1:00,6.661,,,,,
177,2019-06-07 2:00,6.737,,,,,
178,2019-06-07 3:00,6.788,,,,,
179,2019-06-07 4:00,6.788,,,,,
180,2019-06-07 5:00,6.813,,,,,
181,2019-06-07 6:00,6.763,,,,,
182,2019-06-07 7:00,6.763,,,,,
183,2019-06-07 8:00,6.864,,,,,
184,2019-06-07 9:00,7.116,,,,,
185,2019-06-07 10:00,6.712,,,,,
186,2019-06-07 11:00,6.585,,,,,
187,2019-06-07 12:00,6.484,,,,,
188,2019-06-07 13:00,6.281,,,,,
189,2019-06-07 14:00,5.847,,,,,
190,2019-06-07 15:00,5.616,,,,,
191,2019-06-07 16:00,5.796,,,,,
192,2019-06-07 17:00,6.357,,,,,
193,2019-06-07 18:00,7.066,,,,,
194,2019-06-07 19:00,6.94,,,,,
195,2019-06-07 20:00,7.895,,,,,
196,2019-06-07 21:00,8.22,,,,,
197,2019-06-07 22:00,8.593,,,,,
198,2019-06-07 23:00,8.717,,,,,
199,2019-06-08 0:00,8.891,,,,,
200,2019-06-08 1:00,8.916,,,,,
201,2019-06-08 2:00,8.99,,,,,
202,2019-06-08 3:00,8.419,,,,,
203,2019-06-08 4:00,8.394,,,,,
