Timestamp(UTC),Time Corrected(seconds),Sensor,Record Type,Dissolved Oxygen,Temperature,Device Tilt,Battery Voltage,TimeSet,Time,Text
209s after startup (time not set),,aquaMeasure-670364,Device Tilt,,,90.4,,,,
353s after startup (time not set),,aquaMeasure-670364,Temperature,,22.68,,,,,
1226s after startup (time not set),,aquaMeasure-670364,Dissolved Oxygen,100.5,,,,,,
2143s after startup (time not set),,aquaMeasure-670364,Device Tilt,,,91,,,,
3006s after startup (time not set),,aquaMeasure-670364,Device Tilt,,,91.1,,,,
3875s after startup (time not set),,aquaMeasure-670364,Dissolved Oxygen,100.5,,,,,,
4742s after startup (time not set),,aquaMeasure-670364,Dissolved Oxygen,100.9,,,,,,
5675s after startup (time not set),,aquaMeasure-670364,Device Tilt,,,91.1,,,,
15s after startup (time not set),,aquaMeasure-670364,Dissolved Oxygen,101.7,,,,,,
87s after startup (time not set),,aquaMeasure-670364,Temperature,,21.15,,,,,
301s after startup (time not set),,aquaMeasure-670364,Temperature,,20.31,,,,,
1233s after startup (time not set),,aquaMeasure-670364,Device Tilt,,,1.4,,,,
2085s after startup (time not set),,aquaMeasure-670364,Temperature,,20.45,,,,,
2952s after startup (time not set),,aquaMeasure-670364,Device Tilt,,,1.5,,,,
3771s after startup (time not set),,aquaMeasure-670364,Temperature,,20.73,,,,,
4641s after startup (time not set),,aquaMeasure-670364,Dissolved Oxygen,119.4,,,,,,
5510s after startup (time not set),,aquaMeasure-670364,Dissolved Oxygen,119.7,,,,,,
6373s after startup (time not set),,aquaMeasure-670364,Device Tilt,,,0.7,,,,
16s after startup (time not set),,aquaMeasure-670364,Temperature,,21.12,,,,,
765s after startup (time not set),,aquaMeasure-670364,Dissolved Oxygen,104.1,,,,,,
2018-02-14 19:39,,aquaMeasure-670364,Time Set,,,,,37,37,
2018-02-28 17:43,-1,aquaMeasure-670364,Dissolved Oxygen,101.2,,,,,,
2018-02-28 19:35,-4,aquaMeasure-670364,Device Tilt,,,6.1,,,,
2018-02-28 21:37,-6,aquaMeasure-670364,Device Tilt,,,6.1,,,,
2018-02-28 23:39,-9,aquaMeasure-670364,Temperature,,1.45,,,,,
2018-03-01 1:41,-11,aquaMeasure-670364,Dissolved Oxygen,100.5,,,,,,
2018-03-01 3:33,-13,aquaMeasure-670364,Battery Voltage,,,,1.645,,,
2018-03-01 5:35,-16,aquaMeasure-670364,Device Tilt,,,6.4,,,,
2018-03-01 7:37,-18,aquaMeasure-670364,Temperature,,1.51,,,,,
2018-03-01 9:39,-20,aquaMeasure-670364,Dissolved Oxygen,100.6,,,,,,
2018-03-01 11:36,-23,aquaMeasure-670364,Battery Voltage,,,,1.643,,,
2018-03-01 13:33,-25,aquaMeasure-670364,Device Tilt,,,5.5,,,,
2018-03-01 15:35,-28,aquaMeasure-670364,Temperature,,1.51,,,,,
2018-03-01 17:37,-30,aquaMeasure-670364,Dissolved Oxygen,101,,,,,,
2018-03-01 19:39,-32,aquaMeasure-670364,Dissolved Oxygen,101,,,,,,
2018-03-01 21:31,-35,aquaMeasure-670364,Device Tilt,,,7.2,,,,
2018-03-01 23:33,-37,aquaMeasure-670364,Temperature,,1.51,,,,,
2018-03-02 1:35,-39,aquaMeasure-670364,Temperature,,1.53,,,,,
2018-03-02 3:37,-42,aquaMeasure-670364,Dissolved Oxygen,101.3,,,,,,
2018-03-02 5:29,-44,aquaMeasure-670364,Device Tilt,,,7.3,,,,
2018-03-02 7:31,-47,aquaMeasure-670364,Device Tilt,,,7.4,,,,
2018-03-02 9:33,-49,aquaMeasure-670364,Temperature,,1.51,,,,,
2018-03-02 11:35,-51,aquaMeasure-670364,Dissolved Oxygen,101.2,,,,,,
2018-03-02 13:27,-54,aquaMeasure-670364,Battery Voltage,,,,1.632,,,
2018-03-02 15:29,-56,aquaMeasure-670364,Device Tilt,,,6.4,,,,
2018-03-02 17:31,-58,aquaMeasure-670364,Temperature,,1.63,,,,,
2018-03-02 19:33,-61,aquaMeasure-670364,Dissolved Oxygen,101.3,,,,,,
2018-03-02 21:30,-63,aquaMeasure-670364,Battery Voltage,,,,1.629,,,
2018-03-02 23:27,-66,aquaMeasure-670364,Device Tilt,,,6.1,,,,
2018-03-03 1:30,-68,aquaMeasure-670364,Temperature,,1.57,,,,,
2018-03-03 3:32,-70,aquaMeasure-670364,Dissolved Oxygen,101.2,,,,,,
2018-03-03 5:34,-73,aquaMeasure-670364,Dissolved Oxygen,101.2,,,,,,
2018-03-03 7:26,-75,aquaMeasure-670364,Device Tilt,,,5.8,,,,
2018-03-03 9:27,-77,aquaMeasure-670364,Temperature,,1.57,,,,,
2018-03-03 11:30,-80,aquaMeasure-670364,Temperature,,1.55,,,,,
2018-03-03 13:32,-82,aquaMeasure-670364,Dissolved Oxygen,101.2,,,,,,
2018-03-03 15:23,-85,aquaMeasure-670364,Device Tilt,,,3.7,,,,
2018-03-03 17:26,-87,aquaMeasure-670364,Device Tilt,,,5.7,,,,
2018-03-03 19:28,-89,aquaMeasure-670364,Temperature,,1.77,,,,,
2018-03-03 21:30,-92,aquaMeasure-670364,Dissolved Oxygen,101.5,,,,,,
2018-03-03 23:21,-94,aquaMeasure-670364,Battery Voltage,,,,1.621,,,
2018-03-04 1:23,-96,aquaMeasure-670364,Device Tilt,,,5.1,,,,
2018-03-04 3:25,-99,aquaMeasure-670364,Temperature,,1.85,,,,,
2018-03-04 5:28,-101,aquaMeasure-670364,Dissolved Oxygen,101.6,,,,,,
2018-03-04 7:25,-104,aquaMeasure-670364,Battery Voltage,,,,1.618,,,
2018-03-04 9:22,-106,aquaMeasure-670364,Device Tilt,,,10,,,,
2018-03-04 11:24,-108,aquaMeasure-670364,Temperature,,1.79,,,,,
2018-03-04 13:26,-111,aquaMeasure-670364,Dissolved Oxygen,101.7,,,,,,
2018-03-04 15:28,-113,aquaMeasure-670364,Dissolved Oxygen,101.4,,,,,,
2018-03-04 17:20,-115,aquaMeasure-670364,Device Tilt,,,7.6,,,,
2018-03-04 19:22,-118,aquaMeasure-670364,Temperature,,1.87,,,,,
2018-03-04 21:24,-120,aquaMeasure-670364,Temperature,,1.87,,,,,
2018-03-04 23:26,-123,aquaMeasure-670364,Dissolved Oxygen,101.6,,,,,,
2018-03-05 1:18,-125,aquaMeasure-670364,Device Tilt,,,3.7,,,,
2018-03-05 3:20,-127,aquaMeasure-670364,Device Tilt,,,3.8,,,,
2018-03-05 5:22,-130,aquaMeasure-670364,Temperature,,1.83,,,,,
2018-03-05 7:24,-132,aquaMeasure-670364,Dissolved Oxygen,101.7,,,,,,
2018-03-05 9:16,-134,aquaMeasure-670364,Battery Voltage,,,,1.611,,,
2018-03-05 11:18,-137,aquaMeasure-670364,Device Tilt,,,7,,,,
2018-03-05 13:20,-139,aquaMeasure-670364,Temperature,,1.79,,,,,
2018-03-05 15:22,-142,aquaMeasure-670364,Dissolved Oxygen,102.5,,,,,,
2018-03-05 17:19,-144,aquaMeasure-670364,Battery Voltage,,,,1.61,,,
2018-03-05 19:16,-146,aquaMeasure-670364,Device Tilt,,,5.5,,,,
2018-03-05 21:18,-149,aquaMeasure-670364,Temperature,,1.95,,,,,
2018-03-05 23:20,-151,aquaMeasure-670364,Dissolved Oxygen,102.4,,,,,,
2018-03-06 1:22,-154,aquaMeasure-670364,Dissolved Oxygen,102.6,,,,,,
2018-03-06 3:14,-156,aquaMeasure-670364,Device Tilt,,,7.1,,,,
2018-03-06 5:16,-158,aquaMeasure-670364,Temperature,,1.83,,,,,
2018-03-06 7:18,-161,aquaMeasure-670364,Temperature,,1.81,,,,,
2018-03-06 9:20,-163,aquaMeasure-670364,Dissolved Oxygen,102.2,,,,,,
2018-03-06 11:12,-165,aquaMeasure-670364,Device Tilt,,,5.2,,,,
2018-03-06 13:14,-168,aquaMeasure-670364,Device Tilt,,,8.3,,,,
2018-03-06 15:16,-170,aquaMeasure-670364,Temperature,,1.81,,,,,
2018-03-06 17:18,-173,aquaMeasure-670364,Dissolved Oxygen,102.3,,,,,,
2018-03-06 19:10,-175,aquaMeasure-670364,Battery Voltage,,,,1.602,,,
2018-03-06 21:12,-177,aquaMeasure-670364,Device Tilt,,,7.3,,,,
2018-03-06 23:14,-180,aquaMeasure-670364,Temperature,,1.95,,,,,
2018-03-07 1:16,-182,aquaMeasure-670364,Dissolved Oxygen,102,,,,,,
2018-03-07 3:13,-184,aquaMeasure-670364,Battery Voltage,,,,1.601,,,
2018-03-07 5:10,-187,aquaMeasure-670364,Device Tilt,,,8.2,,,,
2018-03-07 7:12,-189,aquaMeasure-670364,Temperature,,1.87,,,,,
2018-03-07 9:14,-192,aquaMeasure-670364,Dissolved Oxygen,101.9,,,,,,
2018-03-07 11:16,-194,aquaMeasure-670364,Dissolved Oxygen,101.6,,,,,,
2018-03-07 13:08,-196,aquaMeasure-670364,Device Tilt,,,6.5,,,,
2018-03-07 15:10,-199,aquaMeasure-670364,Temperature,,1.81,,,,,
2018-03-07 17:12,-201,aquaMeasure-670364,Temperature,,1.85,,,,,
2018-03-07 19:14,-204,aquaMeasure-670364,Dissolved Oxygen,102,,,,,,
2018-03-07 21:06,-206,aquaMeasure-670364,Device Tilt,,,6.2,,,,
2018-03-07 23:08,-208,aquaMeasure-670364,Device Tilt,,,6,,,,
2018-03-08 1:10,-211,aquaMeasure-670364,Temperature,,1.83,,,,,
2018-03-08 3:12,-213,aquaMeasure-670364,Dissolved Oxygen,102.5,,,,,,
2018-03-08 5:04,-215,aquaMeasure-670364,Battery Voltage,,,,1.595,,,
2018-03-08 7:06,-218,aquaMeasure-670364,Device Tilt,,,6.5,,,,
2018-03-08 9:08,-220,aquaMeasure-670364,Temperature,,1.85,,,,,
2018-03-08 11:10,-223,aquaMeasure-670364,Dissolved Oxygen,102.1,,,,,,
2018-03-08 13:07,-225,aquaMeasure-670364,Battery Voltage,,,,1.593,,,
2018-03-08 15:04,-227,aquaMeasure-670364,Device Tilt,,,6.7,,,,
2018-03-08 17:06,-230,aquaMeasure-670364,Temperature,,1.57,,,,,
2018-03-08 19:08,-232,aquaMeasure-670364,Dissolved Oxygen,101.2,,,,,,
2018-03-08 21:10,-235,aquaMeasure-670364,Dissolved Oxygen,101.2,,,,,,
2018-03-08 23:02,-237,aquaMeasure-670364,Device Tilt,,,6.4,,,,
2018-03-09 1:04,-239,aquaMeasure-670364,Temperature,,1.55,,,,,
2018-03-09 3:06,-242,aquaMeasure-670364,Temperature,,1.53,,,,,
2018-03-09 5:08,-244,aquaMeasure-670364,Dissolved Oxygen,100.8,,,,,,
2018-03-09 7:00,-246,aquaMeasure-670364,Device Tilt,,,5.8,,,,
2018-03-09 9:02,-249,aquaMeasure-670364,Device Tilt,,,2.4,,,,
2018-03-09 11:04,-251,aquaMeasure-670364,Temperature,,1.65,,,,,
2018-03-09 13:06,-254,aquaMeasure-670364,Dissolved Oxygen,100.5,,,,,,
2018-03-09 14:58,-256,aquaMeasure-670364,Battery Voltage,,,,1.588,,,
2018-03-09 17:00,-258,aquaMeasure-670364,Device Tilt,,,6.3,,,,
2018-03-09 19:02,-261,aquaMeasure-670364,Temperature,,1.65,,,,,
2018-03-09 21:04,-263,aquaMeasure-670364,Dissolved Oxygen,100.7,,,,,,
2018-03-09 23:02,-265,aquaMeasure-670364,Battery Voltage,,,,1.586,,,
2018-03-10 0:58,-268,aquaMeasure-670364,Device Tilt,,,5.3,,,,
2018-03-10 3:00,-270,aquaMeasure-670364,Temperature,,1.51,,,,,
2018-03-10 5:02,-273,aquaMeasure-670364,Dissolved Oxygen,101.2,,,,,,
2018-03-10 7:04,-275,aquaMeasure-670364,Dissolved Oxygen,101.3,,,,,,
2018-03-10 8:56,-277,aquaMeasure-670364,Device Tilt,,,6.4,,,,
2018-03-10 10:58,-280,aquaMeasure-670364,Temperature,,1.43,,,,,
2018-03-10 13:01,-282,aquaMeasure-670364,Temperature,,1.43,,,,,
