"Date Time, GMT+00:00","Temp, °C (LGR S/N: 10755220, SEN S/N: 10755220)",Coupler Detached (LGR S/N: 10755220),Coupler Attached (LGR S/N: 10755220),Host Connected (LGR S/N: 10755220),Stopped (LGR S/N: 10755220),End Of File (LGR S/N: 10755220)
2019-05-29 18:00,12.243,Logged,,,,
2019-05-30 19:00,7.87,,,,,
2019-05-30 20:00,6.585,,,,,
2019-05-30 21:00,6.661,,,,,
2019-05-30 22:00,6.661,,,,,
2019-05-30 23:00,7.293,,,,,
2019-05-31 0:00,7.67,,,,,
2019-10-18 10:00,11.929,,,,,
2019-10-18 11:00,11.904,,,,,
2019-10-18 12:00,11.904,,,,,
2019-10-18 13:00,11.88,,,,,
2019-10-18 14:00,11.904,,,,,
2019-10-18 15:00,11.929,,,,,
2019-10-18 16:00,11.953,,,,,
2019-10-18 17:00,11.977,,,,,
2019-10-18 18:00,12.001,,,,,
2019-10-18 19:00,12.001,,,,,
2019-10-19 13:00,11.856,,,,,
2019-10-19 14:00,11.856,,,,,
2019-10-20 14:48,,,Logged,,,
2019-10-20 14:48,,,,Logged,,
2019-10-20 14:49,,,,,Logged,Logged
