Timestamp(UTC),Time Corrected(seconds),Sensor,Record Type,Dissolved Oxygen,Temperature,Device Tilt,Battery Voltage,Device Depth,TimeSet,Time,Text
2019-05-29 18:05:00,47,aquaMeasure-675008,Dissolved Oxygen,91.9,,,,,,,
2019-05-29 18:08:00,47,aquaMeasure-675008,Temperature,,4.68,,,,,,
2019-05-29 18:08:00,47,aquaMeasure-675008,Dissolved Oxygen,91.4,,,,,,,
2019-05-30 19:05:00,47,aquaMeasure-675008,Temperature,,4.66,,,,,,
2019-05-30 19:05:00,47,aquaMeasure-675008,Device Tilt,,,11.2,,,,,
2019-05-30 19:05:00,47,aquaMeasure-675008,Dissolved Oxygen,91.7,,,,,,,
2019-05-30 19:08:00,47,aquaMeasure-675008,Temperature,,4.66,,,,,,
2019-05-30 19:08:00,47,aquaMeasure-675008,Dissolved Oxygen,92.1,,,,,,,
2019-05-30 20:05:00,47,aquaMeasure-675008,Temperature,,4.68,,,,,,
2019-05-30 20:05:00,47,aquaMeasure-675008,Battery Voltage,,,,1.535,,,,
2019-05-30 20:05:00,47,aquaMeasure-675008,Dissolved Oxygen,92,,,,,,,
2019-05-30 20:05:00,47,aquaMeasure-675008,Device Depth,,,,,3.2,,,
2019-05-30 20:08:00,47,aquaMeasure-675008,Device Tilt,,,7.9,,,,,
2019-05-30 21:05:00,47,aquaMeasure-675008,Temperature,,4.7,,,,,,
2019-05-30 21:05:00,47,aquaMeasure-675008,Dissolved Oxygen,91.9,,,,,,,
2019-05-30 21:08:00,47,aquaMeasure-675008,Temperature,,4.7,,,,,,
2019-05-30 21:08:00,47,aquaMeasure-675008,Dissolved Oxygen,91.3,,,,,,,
2019-05-30 22:05:00,47,aquaMeasure-675008,Temperature,,4.68,,,,,,
2019-05-30 22:05:00,47,aquaMeasure-675008,Device Tilt,,,21.7,,,,,
2019-05-30 22:05:00,47,aquaMeasure-675008,Dissolved Oxygen,92.7,,,,,,,
2019-05-30 22:08:00,47,aquaMeasure-675008,Temperature,,4.66,,,,,,
2019-05-30 22:08:00,47,aquaMeasure-675008,Dissolved Oxygen,92.5,,,,,,,
2019-05-30 23:05:00,47,aquaMeasure-675008,Temperature,,4.66,,,,,,
2019-05-30 23:05:00,47,aquaMeasure-675008,Dissolved Oxygen,92.7,,,,,,,
2019-05-30 23:08:00,47,aquaMeasure-675008,Device Tilt,,,19.4,,,,,
2019-05-31 00:05:00,47,aquaMeasure-675008,Temperature,,4.68,,,,,,
2019-05-31 00:05:00,47,aquaMeasure-675008,Battery Voltage,,,,1.534,,,,
2019-05-31 00:05:00,47,aquaMeasure-675008,Dissolved Oxygen,92,,,,,,,
2019-05-31 00:05:00,47,aquaMeasure-675008,Device Depth,,,,,3.2,,,
2019-05-31 00:08:00,47,aquaMeasure-675008,Temperature,,4.64,,,,,,
2019-05-31 00:08:00,47,aquaMeasure-675008,Dissolved Oxygen,92.8,,,,,,,
2019-10-18 12:05:00,47,aquaMeasure-675008,Temperature,,4.56,,,,,,
2019-10-18 12:05:00,47,aquaMeasure-675008,Device Tilt,,,19.6,,,,,
2019-10-18 12:05:00,47,aquaMeasure-675008,Dissolved Oxygen,93.5,,,,,,,
2019-10-18 12:08:00,47,aquaMeasure-675008,Temperature,,4.46,,,,,,
2019-10-18 12:08:00,47,aquaMeasure-675008,Dissolved Oxygen,95,,,,,,,
2019-10-18 13:05:00,47,aquaMeasure-675008,Temperature,,4.52,,,,,,
2019-10-18 13:05:00,47,aquaMeasure-675008,Dissolved Oxygen,93.6,,,,,,,
2019-10-18 13:08:00,47,aquaMeasure-675008,Device Tilt,,,24.6,,,,,
2019-10-18 14:05:00,47,aquaMeasure-675008,Temperature,,4.5,,,,,,
2019-10-18 14:05:00,47,aquaMeasure-675008,Dissolved Oxygen,95.4,,,,,,,
2019-10-18 14:08:00,47,aquaMeasure-675008,Temperature,,4.44,,,,,,
2019-10-18 14:08:00,47,aquaMeasure-675008,Battery Voltage,,,,1.534,,,,
2019-10-18 14:08:00,47,aquaMeasure-675008,Dissolved Oxygen,96.5,,,,,,,
2019-10-18 14:08:00,47,aquaMeasure-675008,Device Depth,,,,,3,,,
2019-10-18 15:05:00,47,aquaMeasure-675008,Temperature,,4.68,,,,,,
2019-10-18 15:05:00,47,aquaMeasure-675008,Device Tilt,,,7.6,,,,,
2019-10-18 15:05:00,47,aquaMeasure-675008,Dissolved Oxygen,97.8,,,,,,,
2019-10-18 15:08:00,47,aquaMeasure-675008,Temperature,,4.66,,,,,,
2019-10-18 15:08:00,47,aquaMeasure-675008,Dissolved Oxygen,97.3,,,,,,,
2019-10-18 16:05:00,47,aquaMeasure-675008,Temperature,,4.68,,,,,,
2019-10-18 16:05:00,47,aquaMeasure-675008,Dissolved Oxygen,96.9,,,,,,,
2019-10-18 16:08:00,47,aquaMeasure-675008,Device Tilt,,,20.7,,,,,
2019-10-18 17:05:00,47,aquaMeasure-675008,Temperature,,4.68,,,,,,
2019-10-18 17:05:00,47,aquaMeasure-675008,Dissolved Oxygen,96.2,,,,,,,
2019-10-18 17:08:00,47,aquaMeasure-675008,Temperature,,4.66,,,,,,
2019-10-18 17:08:00,47,aquaMeasure-675008,Dissolved Oxygen,95.9,,,,,,,
2019-10-18 18:05:00,47,aquaMeasure-675008,Temperature,,4.62,,,,,,
2019-10-18 18:05:00,47,aquaMeasure-675008,Device Tilt,,,25.2,,,,,
2019-10-18 18:05:00,47,aquaMeasure-675008,Battery Voltage,,,,1.534,,,,
2019-10-18 18:05:00,47,aquaMeasure-675008,Dissolved Oxygen,95.8,,,,,,,
2019-10-18 18:05:00,47,aquaMeasure-675008,Device Depth,,,,,3.1,,,
2019-10-18 18:08:00,47,aquaMeasure-675008,Temperature,,4.64,,,,,,
2019-10-18 18:08:00,47,aquaMeasure-675008,Dissolved Oxygen,96.2,,,,,,,
2019-10-18 19:05:00,47,aquaMeasure-675008,Temperature,,4.7,,,,,,
2019-10-18 19:05:00,47,aquaMeasure-675008,Dissolved Oxygen,96.1,,,,,,,
2019-10-18 19:08:00,47,aquaMeasure-675008,Device Tilt,,,24.1,,,,,
2019-10-19 13:05:00,47,aquaMeasure-675008,Temperature,,4.68,,,,,,
2019-10-19 13:05:00,47,aquaMeasure-675008,Dissolved Oxygen,96,,,,,,,
2019-10-19 13:08:00,47,aquaMeasure-675008,Temperature,,4.78,,,,,,
2019-10-19 13:08:00,47,aquaMeasure-675008,Dissolved Oxygen,95.6,,,,,,,
2019-10-19 14:05:00,47,aquaMeasure-675008,Temperature,,4.78,,,,,,
2019-10-19 14:05:00,47,aquaMeasure-675008,Device Tilt,,,23.4,,,,,
2019-10-19 14:05:00,47,aquaMeasure-675008,Dissolved Oxygen,95.1,,,,,,,
2019-10-19 14:08:00,47,aquaMeasure-675008,Temperature,,4.78,,,,,,
2019-10-19 14:08:00,47,aquaMeasure-675008,Battery Voltage,,,,1.534,,,,
2019-10-19 14:08:00,47,aquaMeasure-675008,Dissolved Oxygen,95.9,,,,,,,
2019-10-19 14:08:00,47,aquaMeasure-675008,Device Depth,,,,,3,,,
2019-10-20 14:53:00,47,aquaMeasure-675008,Temperature,,4.82,,,,,,
2019-10-20 14:53:00,47,aquaMeasure-675008,Dissolved Oxygen,95.9,,,,,,,
