Timestamp(UTC),Time Corrected(seconds),Sensor,Record Type,Salinity,Temperature,Device Tilt,Battery Voltage,TimeSet,Time,Text
2019-05-29 18:05:00,59,aquaMeasure-680154,Temperature,,-1.2,,,,,
2019-05-29 18:08:00,59,aquaMeasure-680154,Salinity,ERR,,,,,,
2019-05-30 19:05:00,59,aquaMeasure-680154,Device Tilt,,,176.6,,,,
2019-05-30 19:08:00,59,aquaMeasure-680154,Temperature,,-1.22,,,,,
2019-05-30 20:05:00,59,aquaMeasure-680154,Salinity,31.3,,,,,,
2019-05-30 20:08:00,59,aquaMeasure-680154,Device Tilt,,,177.6,,,,
2019-05-30 21:05:00,59,aquaMeasure-680154,Temperature,,-1.22,,,,,
2019-05-30 21:05:00,59,aquaMeasure-680154,Salinity,31.3,,,,,,
2019-05-30 21:08:00,59,aquaMeasure-680154,Battery Voltage,,,,1.473,,,
2019-05-30 22:05:00,59,aquaMeasure-680154,Device Tilt,,,177.4,,,,
2019-05-30 22:08:00,59,aquaMeasure-680154,Temperature,,-1.22,,,,,
2019-05-30 23:05:00,59,aquaMeasure-680154,Salinity,31.3,,,,,,
2019-05-30 23:08:00,59,aquaMeasure-680154,Device Tilt,,,177.3,,,,
2019-05-31 00:05:00,59,aquaMeasure-680154,Temperature,,-1.24,,,,,
2019-05-31 00:08:00,59,aquaMeasure-680154,Salinity,31.3,,,,,,
2019-10-18 12:05:00,59,aquaMeasure-680154,Device Tilt,,,177.6,,,,
2019-10-18 12:08:00,59,aquaMeasure-680154,Battery Voltage,,,,1.473,,,
2019-10-18 13:05:00,59,aquaMeasure-680154,Temperature,,-1.24,,,,,
2019-10-18 13:08:00,59,aquaMeasure-680154,Salinity,31.3,,,,,,
2019-10-18 14:05:00,59,aquaMeasure-680154,Device Tilt,,,177.6,,,,
2019-10-18 14:08:00,59,aquaMeasure-680154,Temperature,,-1.24,,,,,
2019-10-18 15:05:00,59,aquaMeasure-680154,Salinity,31.3,,,,,,
2019-10-18 15:08:00,59,aquaMeasure-680154,Device Tilt,,,177.5,,,,
2019-10-18 16:05:00,59,aquaMeasure-680154,Temperature,,-1.26,,,,,
2019-10-18 16:05:00,59,aquaMeasure-680154,Salinity,31.3,,,,,,
2019-10-18 16:08:00,59,aquaMeasure-680154,Battery Voltage,,,,1.473,,,
2019-10-18 17:05:00,59,aquaMeasure-680154,Device Tilt,,,177.4,,,,
2019-10-18 17:08:00,59,aquaMeasure-680154,Temperature,,-1.26,,,,,
2019-10-18 18:05:00,59,aquaMeasure-680154,Salinity,31.3,,,,,,
2019-10-18 18:08:00,59,aquaMeasure-680154,Device Tilt,,,178.1,,,,
2019-10-18 19:05:00,59,aquaMeasure-680154,Temperature,,-1.26,,,,,
2019-10-18 19:08:00,59,aquaMeasure-680154,Salinity,31.3,,,,,,
2019-10-19 13:05:00,59,aquaMeasure-680154,Device Tilt,,,177.2,,,,
2019-10-19 13:08:00,59,aquaMeasure-680154,Battery Voltage,,,,1.473,,,
2019-10-19 14:05:00,59,aquaMeasure-680154,Temperature,,-1.28,,,,,
2019-10-19 14:08:00,59,aquaMeasure-680154,Salinity,31.3,,,,,,
2019-10-20 14:53:00,59,aquaMeasure-680154,Device Tilt,,,176.8,,,,
2019-10-20 14:53:00,59,aquaMeasure-680154,Temperature,,-1.26,,,,,
2019-10-20 14:56:00,59,aquaMeasure-680154,Salinity,31.3,,,,,,
2019-10-20 14:56:00,59,aquaMeasure-680154,Device Tilt,,,176.9,,,,
