#,Date-Time (AST/ADT),Temperature (°C) ,Millivolts (mv) ,pH (pH) ,Button Down,Button Up,Host Connected,Stopped,End of File
14730,03-07-2025 21:56:06,-1.5,-67.64,8.08,,,,,
14731,03-07-2025 22:06:06,-1.5,-67.44,8.08,,,,,
14732,03-08-2025 22:16:06,-1.5,-67.11,8.07,,,,,
14733,03-08-2025 22:26:06,-1.5,-66.71,8.07,,,,,
14734,03-08-2025 22:36:06,-1.5,-65.6,8.05,,,,,
14735,03-08-2025 22:46:06,-1.5,-65.88,8.05,,,,,
14736,03-08-2025 22:56:06,-1.5,-65.78,8.05,,,,,
14737,03-08-2025 23:06:06,-1.5,-65.71,8.05,,,,,
14738,03-08-2025 23:16:06,-1.5,-65.78,8.05,,,,,
14739,03-08-2025 23:26:06,-1.53,-65.74,8.05,,,,,
14740,03-08-2025 23:36:06,-1.5,-66.24,8.06,,,,,
14741,03-08-2025 23:46:06,-1.5,-67.03,8.07,,,,,
14742,03-08-2025 23:56:06,-1.5,-66.66,8.06,,,,,
14743,03-09-2025 00:06:06,-1.5,-66.56,8.06,,,,,
14744,03-09-2025 00:16:06,-1.5,-66.53,8.06,,,,,
14745,03-09-2025 00:26:06,-1.5,-66.58,8.06,,,,,
14746,03-09-2025 00:36:06,-1.5,-66.6,8.06,,,,,
14747,03-09-2025 00:46:06,-1.5,-66.52,8.06,,,,,
14748,03-09-2025 00:56:06,-1.5,-66.47,8.06,,,,,
14749,03-09-2025 01:06:06,-1.5,-66.47,8.06,,,,,
14750,03-09-2025 01:16:06,-1.5,-66.41,8.06,,,,,
14751,03-09-2025 01:26:06,-1.5,-66.39,8.06,,,,,
14752,03-09-2025 01:36:06,-1.5,-66.69,8.07,,,,,
14753,03-09-2025 01:46:06,-1.5,-66.72,8.07,,,,,
14754,03-09-2025 01:56:06,-1.5,-67.06,8.07,,,,,
14755,03-09-2025 03:06:06,-1.5,-67.3,8.08,,,,,
14756,03-09-2025 03:16:06,-1.5,-67.31,8.08,,,,,
14757,03-09-2025 03:26:06,-1.5,-67.3,8.08,,,,,
14758,03-09-2025 03:36:06,-1.5,-67.1,8.07,,,,,
14759,03-09-2025 03:46:06,-1.5,-66.86,8.07,,,,,
14760,03-09-2025 03:56:06,-1.5,-66.72,8.07,,,,,
14761,03-09-2025 04:06:06,-1.53,-67.05,8.07,,,,,
14762,03-09-2025 04:16:06,-1.53,-67.22,8.08,,,,,
14763,03-09-2025 04:26:06,-1.53,-67.22,8.08,,,,,
14764,03-09-2025 04:36:06,-1.53,-67.27,8.08,,,,,
14765,03-09-2025 04:46:06,-1.53,-67.27,8.08,,,,,
14766,03-09-2025 04:56:06,-1.53,-67.39,8.08,,,,,
14767,03-09-2025 05:06:06,-1.56,-67.44,8.08,,,,,
14768,03-09-2025 05:16:06,-1.56,-67.27,8.08,,,,,
14769,03-09-2025 05:26:06,-1.58,-66.97,8.07,,,,,
14770,03-09-2025 05:36:06,-1.58,-66.53,8.06,,,,,
14771,03-09-2025 05:46:06,-1.58,-66.75,8.07,,,,,
14772,03-09-2025 05:56:06,-1.58,-66.35,8.06,,,,,
14773,03-09-2025 06:06:06,-1.58,-66.08,8.05,,,,,
14774,03-09-2025 06:16:06,-1.58,-66.55,8.06,,,,,
14775,03-09-2025 06:26:06,-1.58,-66.74,8.07,,,,,
14776,03-09-2025 06:36:06,-1.58,-66.55,8.06,,,,,
14777,03-10-2025 06:46:06,-1.58,-66.02,8.05,,,,,
14778,03-10-2025 06:36:07,10.52,-70.63,8.05,,,,,
14779,03-10-2025 06:46:07,10.47,-61.55,7.88,,,,,
14780,03-09-2025 06:36:08,9.48,-68.25,8.01,,,,,
14777,03-09-2025 06:46:06,,,,Logged,,,,
14778,03-09-2025 06:56:06,,,,,Logged,,,
14779,03-09-2025 07:06:06,,,,,,Logged,,
