#,Date-Time (UTC),Temperature   (°C),Millivolts   (mv),pH   (pH),Button Down,Button Up,Host Connected,Stopped,End of File
1,05-27-2019 16:00:00,13.93,-49.11,7.65,,,,,
2,05-28-2019 17:00:00,13.14,-49.22,7.65,,,,,
3,05-29-2019 18:00:00,12.87,-49.13,7.65,,,,,
4,05-30-2019 19:00:00,12.75,-49.22,7.65,,,,,
5,05-30-2019 20:00:00,12.7,-49.27,7.66,,,,,
6,05-30-2019 21:00:00,12.68,-49.41,7.66,,,,,
7,05-30-2019 22:00:00,12.68,-49.56,7.66,,,,,
8,05-30-2019 23:00:00,12.68,-49.74,7.66,,,,,
9,05-31-2019 0:00:00,12.7,-49.91,7.67,,,,,
10,10-18-2019 10:00:00,12.7,-49.89,7.67,,,,,
11,10-18-2019 11:00:00,12.73,-49.91,7.67,,,,,
12,10-18-2019 12:00:00,12.73,-49.99,7.67,,,,,
13,10-18-2019 13:00:00,12.75,-50.05,7.67,,,,,
14,10-18-2019 14:00:00,12.77,-50.11,7.67,,,,,
15,10-18-2019 15:00:00,12.77,-50.19,7.67,,,,,
16,10-18-2019 16:00:00,12.8,-50.24,7.67,,,,,
17,10-18-2019 17:00:00,12.8,-50.3,7.67,,,,,
18,10-18-2019 18:00:00,12.82,-50.39,7.68,,,,,
19,10-18-2019 19:00:00,12.85,-50.39,7.68,,,,,
20,10-19-2019 13:00:00,12.85,-50.45,7.68,,,,,
21,10-19-2019 14:00:00,12.87,-50.52,7.68,,,,,
22,10-19-2019 15:00:00,12.87,-50.5,7.68,,,,,
23,10-19-2019 16:00:00,12.87,-50.52,7.68,,,,,
24,10-19-2019 17:00:00,12.9,-50.58,7.68,,,,,
25,10-19-2019 18:00:00,12.9,-50.6,7.68,,,,,
26,10-19-2019 19:00:00,12.92,-50.63,7.68,,,,,
27,10-19-2019 20:00:00,12.92,-50.69,7.68,,,,,
28,10-19-2019 21:00:00,12.92,-50.67,7.68,,,,,
29,10-19-2019 22:00:00,12.94,-50.72,7.68,,,,,
30,10-19-2019 23:00:00,12.94,-50.78,7.68,,,,,
31,10-20-2019 0:00:00,12.97,-50.77,7.68,,,,,
32,10-20-2019 1:00:00,12.97,-50.8,7.68,,,,,
419,10-20-2019 2:00:00,10.54,-70.39,8.04,,,,,
420,10-20-2019 3:00:00,10.52,-70.49,8.05,,,,,
421,10-20-2019 4:00:00,10.52,-70.53,8.05,,,,,
422,10-20-2019 5:00:00,10.52,-70.63,8.05,,,,,
423,10-20-2019 6:00:00,10.47,-61.55,7.88,,,,,
424,10-20-2019 7:00:00,9.48,-68.25,8.01,,,,,
425,10-20-2019 8:00:00,,,,Logged,,,,
426,10-20-2019 9:00:00,,,,,Logged,,,
427,10-20-2019 10:00:00,,,,,,Logged,,
