Date and Time (UTC),Receiver,Description,Data
2019-05-30 20:00,VR2AR-547109,Temperature,4.2
2019-05-31 0:02,VR2AR-547109,Temperature,4.6
2019-05-31 0:07,VR2AR-547109,Temperature,4.6
2019-05-31 0:12,VR2AR-547109,Temperature,4.6
2019-05-31 0:17,VR2AR-547109,Temperature,4.7
2019-05-31 0:22,VR2AR-547109,Temperature,4.6
2019-05-31 0:27,VR2AR-547109,Temperature,4.6
2019-05-31 0:32,VR2AR-547109,Temperature,4.6
2019-05-31 0:37,VR2AR-547109,Temperature,4.6
2019-05-31 0:42,VR2AR-547109,Temperature,4.6
2019-05-31 0:47,VR2AR-547109,Temperature,4.7
2019-05-31 0:52,VR2AR-547109,Temperature,4.7
2019-05-31 0:57,VR2AR-547109,Temperature,4.7
2019-05-31 1:01,VR2AR-547109,Temperature,4.7
2019-05-31 1:06,VR2AR-547109,Temperature,4.7
2019-05-31 1:11,VR2AR-547109,Temperature,4.7
2019-05-31 1:16,VR2AR-547109,Temperature,4.7
2019-05-31 1:21,VR2AR-547109,Temperature,4.7
2019-05-31 1:26,VR2AR-547109,Temperature,4.7
2019-05-31 1:31,VR2AR-547109,Temperature,4.6
2019-05-31 1:36,VR2AR-547109,Temperature,4.6
2019-05-31 1:41,VR2AR-547109,Temperature,4.6
2019-05-31 1:46,VR2AR-547109,Temperature,4.6
2019-05-31 1:51,VR2AR-547109,Temperature,4.6
2019-05-31 1:56,VR2AR-547109,Temperature,4.6
2019-05-31 2:05,VR2AR-547109,Temperature,4.6
2019-05-31 2:10,VR2AR-547109,Temperature,4.6
2019-05-31 2:15,VR2AR-547109,Temperature,4.6
2019-05-31 2:20,VR2AR-547109,Temperature,4.6
2019-05-31 2:25,VR2AR-547109,Temperature,4.6
2019-05-31 2:30,VR2AR-547109,Temperature,4.6
2019-05-31 2:35,VR2AR-547109,Temperature,4.6
2019-05-31 2:40,VR2AR-547109,Temperature,4.6
2019-05-31 2:45,VR2AR-547109,Temperature,4.6
2019-05-31 2:50,VR2AR-547109,Temperature,4.6
2019-05-31 2:55,VR2AR-547109,Temperature,4.6
2019-05-31 3:04,VR2AR-547109,Temperature,4.6
2019-05-31 3:09,VR2AR-547109,Temperature,4.6
2019-05-31 3:14,VR2AR-547109,Temperature,4.6
2019-05-31 3:19,VR2AR-547109,Temperature,4.6
2019-05-31 3:24,VR2AR-547109,Temperature,4.6
2019-05-31 3:29,VR2AR-547109,Temperature,4.6
2019-05-31 3:34,VR2AR-547109,Temperature,4.6
